timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, IDLE
1.6449324188796744e+18,-3349.0,-161.0,-7383.0,1
1.6449324189286318e+18,-3381.0,-141.0,-7449.0,1
1.6449324189801728e+18,-3398.0,-106.0,-7545.0,1
1.6449324190251853e+18,-3404.0,-155.0,-7471.0,1
1.6449324190791132e+18,-3367.0,-202.0,-7404.0,1
1.6449324191307612e+18,-3369.0,-206.0,-7426.0,1
1.6449324191779397e+18,-3308.0,-150.0,-7479.0,1
1.6449324192307354e+18,-3380.0,-178.0,-7480.0,1
1.6449324192804406e+18,-3447.0,-201.0,-7466.0,1
1.6449324193340183e+18,-3487.0,-187.0,-7456.0,1
1.6449324193819372e+18,-3484.0,-254.0,-7439.0,1
1.64493241943334e+18,-3491.0,-333.0,-7443.0,1
1.6449324194764877e+18,-3566.0,-181.0,-7282.0,1
1.644932419532954e+18,-3597.0,-254.0,-7293.0,1
1.644932419578305e+18,-3633.0,-368.0,-7198.0,1
1.6449324196331177e+18,-3545.0,-395.0,-7199.0,1
1.6449324196817984e+18,-3492.0,-578.0,-7232.0,1
1.6449324197302157e+18,-3373.0,-696.0,-7247.0,1
1.6449324197796452e+18,-3259.0,-666.0,-7340.0,1
1.6449324198286963e+18,-3393.0,-672.0,-7345.0,1
1.644932419881973e+18,-3346.0,-620.0,-7449.0,1
1.644932419934366e+18,-3263.0,-581.0,-7483.0,1
1.644932419981879e+18,-3247.0,-543.0,-7432.0,1
1.6449324200301025e+18,-3232.0,-475.0,-7530.0,1
1.6449324200735258e+18,-3193.0,-352.0,-7674.0,1
1.6449324201279708e+18,-3122.0,-361.0,-7756.0,1
1.644932420157058e+18,-3215.0,-343.0,-7671.0,1
1.644932420235553e+18,-3234.0,-359.0,-7597.0,1
1.6449324202781883e+18,-3208.0,-396.0,-7569.0,1
1.6449324203274995e+18,-3167.0,-416.0,-7526.0,1
1.6449324203835384e+18,-3136.0,-404.0,-7509.0,1
1.644932420462002e+18,-3144.0,-401.0,-7511.0,1
1.644932420471371e+18,-3142.0,-401.0,-7504.0,1
1.644932420531824e+18,-3135.0,-375.0,-7489.0,1
1.644932420578656e+18,-3265.0,-446.0,-7501.0,1
1.6449324206326886e+18,-3216.0,-448.0,-7480.0,1
1.644932420683102e+18,-3139.0,-466.0,-7473.0,1
1.6449324207267466e+18,-3121.0,-504.0,-7463.0,1
1.6449324207839365e+18,-3061.0,-501.0,-7490.0,1
1.6449324208297219e+18,-3004.0,-455.0,-7598.0,1
1.644932420881291e+18,-2936.0,-415.0,-7617.0,1
1.6449324209319793e+18,-2926.0,-421.0,-7567.0,1
1.6449324209832668e+18,-2831.0,-420.0,-7518.0,1
1.6449324210322982e+18,-2722.0,-406.0,-7577.0,1
1.64493242108845e+18,-2758.0,-354.0,-7615.0,1
1.6449324211290924e+18,-2889.0,-289.0,-7735.0,1
1.6449324211849375e+18,-2919.0,-147.0,-7710.0,1
1.6449324212318728e+18,-3191.0,-148.0,-7508.0,1
1.6449324212881088e+18,-2780.0,-211.0,-7700.0,1
1.644932421332662e+18,-2735.0,-340.0,-7585.0,1
1.6449324213803087e+18,-2780.0,-333.0,-7669.0,1
1.6449324214317706e+18,-5353.0,-2576.0,-4327.0,1
1.6449324214833613e+18,-7063.0,-8070.0,1007.0,1
1.644932421533137e+18,-3259.0,-8340.0,-12325.0,1
1.644932421583757e+18,-2211.0,-5973.0,-10433.0,1
1.6449324216310991e+18,-4131.0,-3392.0,-7554.0,1
1.6449324216664579e+18,-4569.0,-3582.0,-7065.0,1
1.6449324217471987e+18,-4967.0,-3849.0,-6594.0,1
1.6449324217812324e+18,-5308.0,-4172.0,-6140.0,1
1.6449324218117325e+18,-5821.0,-4790.0,-5348.0,1
1.6449324219166193e+18,-6005.0,-4952.0,-5055.0,1
1.6449324219166193e+18,-6005.0,-4952.0,-5055.0,1
1.6449324219834394e+18,-6164.0,-4978.0,-4752.0,1
1.6449324219834394e+18,-6164.0,-4978.0,-4752.0,1
1.6449324221142764e+18,-6322.0,-4914.0,-4463.0,1
1.6449324221308257e+18,-6430.0,-4794.0,-4228.0,1
1.6449324221805256e+18,-6380.0,-4384.0,-3288.0,1
1.6449324222343414e+18,-4201.0,-6148.0,-3758.0,1
1.6449324222838472e+18,-3625.0,-6174.0,-3739.0,1
1.6449324223350636e+18,-3823.0,-6122.0,-3915.0,1
1.644932422385794e+18,-3768.0,-5997.0,-3916.0,1
1.6449324224355126e+18,-3768.0,-6067.0,-3797.0,1
1.644932422483549e+18,-3812.0,-6101.0,-3751.0,1
1.6449324225340472e+18,-3837.0,-6086.0,-3767.0,1
1.644932422585056e+18,-3849.0,-6148.0,-3760.0,1
1.644932422636543e+18,-3849.0,-6151.0,-3737.0,1
1.644932422685766e+18,-3826.0,-6076.0,-3771.0,1
1.6449324227340334e+18,-3898.0,-6048.0,-3701.0,1
1.6449324227852262e+18,-3929.0,-6068.0,-3862.0,1
1.6449324228348498e+18,-3942.0,-6121.0,-3742.0,1
1.6449324228850655e+18,-3852.0,-6081.0,-3761.0,1
1.6449324229330877e+18,-3874.0,-6102.0,-3769.0,1
1.6449324229847342e+18,-3911.0,-6021.0,-3760.0,1
1.644932423034644e+18,-3846.0,-6215.0,-3821.0,1
1.6449324230845194e+18,-3813.0,-6154.0,-3759.0,1
1.644932423135608e+18,-3832.0,-6148.0,-3679.0,1
1.6449324231859901e+18,-3766.0,-6184.0,-3666.0,1
1.644932423235076e+18,-3830.0,-6140.0,-3682.0,1
1.6449324232855101e+18,-3896.0,-6124.0,-3569.0,1
1.6449324233352755e+18,-3707.0,-6177.0,-3865.0,1
1.644932423383707e+18,-3804.0,-6331.0,-3728.0,1
1.6449324234376018e+18,-3775.0,-6140.0,-3608.0,1
1.644932423484185e+18,-3717.0,-6280.0,-3646.0,1
1.6449324235374474e+18,-3734.0,-6295.0,-3533.0,1
1.6449324235812283e+18,-3686.0,-6225.0,-3524.0,1
1.6449324236357e+18,-3671.0,-6302.0,-3601.0,1
1.6449324236815496e+18,-3732.0,-6299.0,-3545.0,1
1.6449324237335452e+18,-3754.0,-6350.0,-3675.0,1
1.6449324237854618e+18,-3657.0,-6349.0,-3665.0,1
1.644932423834655e+18,-3604.0,-6232.0,-3668.0,1
1.6449324238900623e+18,-3664.0,-6295.0,-3641.0,1
1.6449324239374838e+18,-3679.0,-6374.0,-3702.0,1
1.644932423988346e+18,-3688.0,-6331.0,-3544.0,1
1.6449324240338212e+18,-3693.0,-6555.0,-3691.0,1
1.6449324240907564e+18,-3716.0,-6241.0,-3762.0,1
1.6449324241370232e+18,-3833.0,-6273.0,-3912.0,1
1.6449324241876662e+18,-3802.0,-6174.0,-3894.0,1
1.6449324242350285e+18,-3831.0,-6444.0,-3706.0,1
1.6449324242875873e+18,-3751.0,-6370.0,-3375.0,1
1.644932424333293e+18,-3919.0,-6382.0,-3071.0,1
1.6449324243888463e+18,-3716.0,-6380.0,-3372.0,1
1.644932424438424e+18,-3247.0,-6272.0,-3280.0,1
1.644932424486386e+18,-3368.0,-7030.0,-3313.0,1
1.6449324245366403e+18,-3443.0,-7062.0,-2614.0,1
1.644932424577795e+18,-3183.0,-6825.0,-1960.0,1
1.6449324246076585e+18,-3160.0,-6826.0,-1895.0,1
1.644932424688755e+18,-3098.0,-6842.0,-1759.0,1
1.644932424733696e+18,-3595.0,-8358.0,-1695.0,1
1.6449324247857748e+18,-3953.0,-7284.0,-2217.0,1
1.6449324248357386e+18,-3720.0,-7283.0,-1955.0,1
1.6449324248897705e+18,-3155.0,-6945.0,-1577.0,1
1.6449324249353216e+18,-3116.0,-6681.0,-895.0,1
1.6449324249822162e+18,-3647.0,-6966.0,-971.0,1
1.644932425036258e+18,-3742.0,-7004.0,-984.0,1
1.6449324250758756e+18,-3830.0,-7031.0,-986.0,1
1.644932425137345e+18,-4050.0,-7033.0,-1365.0,1
1.644932425185515e+18,-4039.0,-7164.0,-1301.0,1
1.6449324252375575e+18,-4115.0,-7084.0,-1198.0,1
1.6449324252853356e+18,-4007.0,-7260.0,-1605.0,1
1.6449324253376786e+18,-4421.0,-6768.0,-1588.0,1
1.644932425385755e+18,-4461.0,-6550.0,-1637.0,1
1.6449324254340634e+18,-4418.0,-6866.0,-1400.0,1
1.644932425487639e+18,-4264.0,-6735.0,-1206.0,1
1.6449324255416182e+18,-4199.0,-6301.0,-531.0,1
1.6449324255854333e+18,-4297.0,-6571.0,-278.0,1
1.6449324256382336e+18,-4465.0,-7421.0,31.0,1
1.6449324256900705e+18,-4340.0,-6947.0,-105.0,1
1.6449324257408172e+18,-4337.0,-6812.0,-80.0,1
1.6449324257855665e+18,-4118.0,-6434.0,-130.0,1
1.6449324258422556e+18,-4236.0,-6462.0,-148.0,1
1.644932425896553e+18,-4895.0,-6900.0,-539.0,1
1.6449324259388529e+18,-5442.0,-7598.0,-780.0,1
1.6449324259906301e+18,-5318.0,-6781.0,-1403.0,1
1.6449324260399777e+18,-4836.0,-6011.0,-671.0,1
1.6449324260805036e+18,-4408.0,-6771.0,-937.0,1
1.6449324261122222e+18,-4410.0,-6844.0,-924.0,1
1.644932426225268e+18,-4420.0,-6920.0,-901.0,1
1.644932426225268e+18,-4420.0,-6920.0,-901.0,1
1.6449324262733102e+18,-4444.0,-6975.0,-871.0,1
