timestamp,a_right_backPose,b_right_backPose,c_right_backPose, IDLE
1.6449324188803333e+18,2717.0,5168.0,5901.0,1
1.6449324189287012e+18,2627.0,5099.0,5847.0,1
1.6449324189810214e+18,2643.0,5069.0,5904.0,1
1.6449324190286564e+18,2723.0,5133.0,6046.0,1
1.6449324190809436e+18,2694.0,5017.0,5961.0,1
1.644932419128913e+18,2615.0,5030.0,6024.0,1
1.6449324191758723e+18,2596.0,5026.0,6071.0,1
1.64493241922954e+18,2546.0,5022.0,6150.0,1
1.644932419277882e+18,2509.0,5012.0,6163.0,1
1.6449324193333775e+18,2461.0,4954.0,6203.0,1
1.6449324193804598e+18,2395.0,4844.0,6186.0,1
1.6449324194297267e+18,2380.0,4705.0,6196.0,1
1.6449324194780475e+18,2441.0,4665.0,6377.0,1
1.644932419529982e+18,2482.0,4635.0,6465.0,1
1.644932419578493e+18,2478.0,4581.0,6548.0,1
1.6449324196313285e+18,2420.0,4599.0,6552.0,1
1.6449324196788572e+18,2521.0,4616.0,6574.0,1
1.6449324197303683e+18,2489.0,4638.0,6615.0,1
1.6449324197798134e+18,2397.0,4712.0,6522.0,1
1.6449324198289533e+18,2396.0,4768.0,6346.0,1
1.64493241987954e+18,2543.0,4762.0,6359.0,1
1.644932419933537e+18,2509.0,4834.0,6257.0,1
1.6449324199780467e+18,2472.0,4862.0,6165.0,1
1.644932420033926e+18,2490.0,4895.0,6140.0,1
1.644932420078244e+18,2473.0,4929.0,6146.0,1
1.6449324201298102e+18,2474.0,4965.0,6178.0,1
1.6449324201802964e+18,2464.0,4963.0,6158.0,1
1.6449324202303245e+18,2521.0,4904.0,6181.0,1
1.6449324202795036e+18,2619.0,4866.0,6179.0,1
1.6449324203301005e+18,2497.0,4818.0,6213.0,1
1.6449324203796608e+18,2441.0,4801.0,6251.0,1
1.644932420429315e+18,2472.0,4821.0,6241.0,1
1.644932420478567e+18,2502.0,4872.0,6258.0,1
1.64493242053156e+18,2420.0,4852.0,6224.0,1
1.6449324205821071e+18,2349.0,4794.0,6323.0,1
1.6449324206309e+18,2381.0,4794.0,6300.0,1
1.6449324206851348e+18,2432.0,4892.0,6283.0,1
1.6449324207302408e+18,2389.0,4900.0,6400.0,1
1.644932420778469e+18,2410.0,4945.0,6306.0,1
1.6449324208312246e+18,2477.0,5002.0,6338.0,1
1.6449324208852541e+18,2434.0,5076.0,6372.0,1
1.6449324209326802e+18,2376.0,5084.0,6103.0,1
1.6449324209846162e+18,2328.0,5140.0,6019.0,1
1.6449324210327588e+18,2327.0,5164.0,5964.0,1
1.6449324210851113e+18,2366.0,5126.0,5946.0,1
1.6449324211345915e+18,2414.0,5182.0,5947.0,1
1.6449324211854543e+18,2427.0,5124.0,5984.0,1
1.6449324212339917e+18,2367.0,5131.0,6001.0,1
1.6449324212847235e+18,2395.0,5036.0,5949.0,1
1.6449324213257818e+18,2473.0,5301.0,6227.0,1
1.6449324213788495e+18,2410.0,5249.0,5953.0,1
1.644932421428216e+18,2232.0,5277.0,6160.0,1
1.6449324214838556e+18,2538.0,4977.0,5801.0,1
1.6449324215308605e+18,1904.0,5202.0,6358.0,1
1.6449324215849188e+18,2083.0,5514.0,6045.0,1
1.6449324216304655e+18,2468.0,4897.0,5972.0,1
1.6449324216851471e+18,2675.0,4795.0,5989.0,1
1.644932421730975e+18,2682.0,5129.0,6063.0,1
1.6449324217855086e+18,2505.0,5221.0,6028.0,1
1.6449324218300956e+18,2361.0,5201.0,5978.0,1
1.6449324218848136e+18,2510.0,5146.0,5926.0,1
1.6449324219294607e+18,2459.0,5355.0,5880.0,1
1.6449324219839616e+18,2541.0,5354.0,5853.0,1
1.644932422032117e+18,2547.0,5330.0,5846.0,1
1.644932422091041e+18,2643.0,5289.0,5710.0,1
1.6449324221295736e+18,2616.0,5310.0,5654.0,1
1.6449324221834995e+18,2651.0,5363.0,5693.0,1
1.6449324222316536e+18,2744.0,5343.0,5684.0,1
1.6449324222838615e+18,2762.0,5331.0,5700.0,1
1.644932422337271e+18,2747.0,5338.0,5676.0,1
1.6449324223855644e+18,2812.0,5299.0,5711.0,1
1.6449324224377897e+18,2785.0,5265.0,5710.0,1
1.644932422482401e+18,2757.0,5297.0,5787.0,1
1.6449324225350428e+18,2785.0,5303.0,5839.0,1
1.6449324225831462e+18,2803.0,5245.0,5759.0,1
1.6449324226366223e+18,2756.0,5238.0,5841.0,1
1.6449324226852252e+18,2775.0,5242.0,5753.0,1
1.6449324227305078e+18,2772.0,5232.0,5743.0,1
1.6449324227829486e+18,2756.0,5200.0,5821.0,1
1.6449324228353114e+18,2741.0,5245.0,5826.0,1
1.6449324228828175e+18,2727.0,5259.0,5807.0,1
1.6449324229350656e+18,2714.0,5258.0,5780.0,1
1.6449324229823816e+18,2731.0,5264.0,5781.0,1
1.6449324230350502e+18,2766.0,5264.0,5817.0,1
1.6449324230850834e+18,2726.0,5261.0,5801.0,1
1.6449324231374787e+18,2700.0,5289.0,5764.0,1
1.6449324231838397e+18,2683.0,5264.0,5808.0,1
1.6449324232366874e+18,2727.0,5265.0,5773.0,1
1.6449324232831135e+18,2718.0,5303.0,5834.0,1
1.6449324233372516e+18,2749.0,5274.0,5744.0,1
1.644932423388372e+18,2642.0,5304.0,5801.0,1
1.6449324234338324e+18,2695.0,5315.0,5745.0,1
1.6449324234845642e+18,2679.0,5335.0,5748.0,1
1.6449324235349504e+18,2668.0,5371.0,5750.0,1
1.6449324235847201e+18,2655.0,5315.0,5717.0,1
1.6449324236384212e+18,2647.0,5363.0,5749.0,1
1.6449324236842806e+18,2693.0,5365.0,5704.0,1
1.6449324237351695e+18,2682.0,5392.0,5743.0,1
1.6449324237836426e+18,2707.0,5373.0,5731.0,1
1.6449324238365453e+18,2711.0,5364.0,5638.0,1
1.6449324238905032e+18,2691.0,5316.0,5685.0,1
1.6449324239348972e+18,2548.0,5382.0,5753.0,1
1.6449324239885166e+18,2531.0,5392.0,5691.0,1
1.644932424035539e+18,2331.0,5430.0,5774.0,1
1.6449324240875592e+18,2411.0,5332.0,5702.0,1
1.6449324241365844e+18,2578.0,5227.0,5680.0,1
1.64493242418784e+18,2525.0,5162.0,5859.0,1
1.644932424236764e+18,2591.0,5221.0,5973.0,1
1.6449324242852434e+18,2370.0,5206.0,6120.0,1
1.6449324243329792e+18,2267.0,5204.0,6209.0,1
1.6449324243874831e+18,2194.0,5370.0,6057.0,1
1.6449324244382574e+18,2104.0,5280.0,5942.0,1
1.644932424487358e+18,2030.0,5290.0,6158.0,1
1.6449324245350285e+18,1656.0,5333.0,6065.0,1
1.644932424587447e+18,1662.0,5376.0,6087.0,1
1.6449324246345705e+18,1840.0,5318.0,5983.0,1
1.6449324246891505e+18,1712.0,5237.0,6217.0,1
1.6449324247333832e+18,1826.0,4921.0,6838.0,1
1.6449324247868577e+18,2263.0,4843.0,6771.0,1
1.64493242483648e+18,2225.0,5090.0,6874.0,1
1.6449324248871892e+18,2227.0,4886.0,6087.0,1
1.644932424933553e+18,1661.0,4693.0,6195.0,1
1.6449324249877553e+18,1579.0,4512.0,6719.0,1
1.6449324250366636e+18,1757.0,4560.0,6518.0,1
1.644932425086877e+18,1847.0,4577.0,6499.0,1
1.6449324251340293e+18,1750.0,4486.0,6643.0,1
1.6449324251886428e+18,1634.0,4474.0,6761.0,1
1.644932425235296e+18,1805.0,4434.0,6776.0,1
1.6449324252886646e+18,1788.0,4400.0,6917.0,1
1.644932425334502e+18,1759.0,4279.0,6896.0,1
1.6449324253888164e+18,1899.0,4034.0,6906.0,1
1.644932425434888e+18,1931.0,4023.0,6937.0,1
1.6449324254880049e+18,2071.0,3945.0,6936.0,1
1.6449324255385702e+18,1935.0,3917.0,7049.0,1
1.6449324255866563e+18,2057.0,3820.0,7032.0,1
1.6449324256379917e+18,2155.0,3841.0,7229.0,1
1.6449324256883748e+18,1840.0,3917.0,7433.0,1
1.6449324257391237e+18,1593.0,3713.0,7286.0,1
1.6449324257870932e+18,1590.0,3385.0,7100.0,1
1.644932425839707e+18,1652.0,3508.0,7465.0,1
1.6449324258887852e+18,2279.0,4044.0,7907.0,1
1.644932425940077e+18,2991.0,4155.0,7323.0,1
1.6449324259887616e+18,2771.0,3228.0,6715.0,1
1.6449324260396431e+18,1698.0,2814.0,7174.0,1
1.6449324260907246e+18,1832.0,3326.0,7672.0,1
1.6449324261409725e+18,2296.0,3964.0,7068.0,1
1.644932426187178e+18,2331.0,3800.0,7054.0,1
1.6449324262387517e+18,2156.0,3429.0,7179.0,1
1.6449324262873728e+18,2045.0,3507.0,7161.0,1
